"abbrName","awayLosses","awayTies","awayWins","calendarYear","capAvailable","capRoom","capSpent","cityName","confLosses","confTies","confWins","conferenceId","conferenceName","defPassYds","defPassYdsRank","defRushYds","defRushYdsRank","defScheme","defTotalYds","defTotalYdsRank","displayName","divLosses","divName","divTies","divWins","divisionId","divisionName","homeLosses","homeTies","homeWins","injuryCount","logoId","netPts","nickName","offPassYds","offPassYdsRank","offRushYds","offRushYdsRank","offScheme","offTotalYds","offTotalYdsRank","ovrRating","playoffStatus","prevRank","primaryColor","ptsAgainst","ptsAgainstRank","ptsFor","ptsForRank","rank","seasonIndex","secondaryColor","seed","stageIndex","tODiff","teamId","teamName","teamOvr","totalLosses","totalTies","totalWins","userName","weekIndex","winLossStreak","winPct"
"IND",0,0,0,2024,29700000,255400000,225700000,"Indianapolis",0,0,0,750518272,"AFC",0,11,0,11,11,0,11,"Colts",0,"AFC South",0,0,755105794,"AFC South",0,0,0,0,9,0,"Colts",0,22,0,22,10,0,22,82,0,0,78697,0,11,0,22,0,0,16777215,0,1,0,759955468,"Colts",82,0,0,0,"",0,0,0
"WAS",0,0,0,2024,28900000,255400000,226500000,"Washington",0,0,0,751960064,"NFC",0,12,0,12,19,0,12,"Commanders",0,"NFC East",0,0,755105796,"NFC East",0,0,0,0,25,0,"Commanders",0,21,0,21,8,0,21,84,0,0,5903380,0,12,0,21,0,0,16758290,0,1,0,759955469,"Commanders",84,0,0,0,"",0,0,0
"DAL",0,0,0,2024,41330000,255400000,214070000,"Dallas",0,0,0,751960064,"NFC",0,13,0,13,11,0,13,"Cowboys",0,"NFC East",0,0,755105796,"NFC East",0,0,0,1,10,0,"Cowboys",0,20,0,20,0,0,20,84,0,0,798338,0,13,0,20,0,0,11581372,0,1,0,759955470,"Cowboys",84,0,0,0,"",0,0,0
"MIA",0,0,0,2024,55930000,255400000,199470000,"Miami",0,0,0,750518272,"AFC",0,14,0,14,18,0,14,"Dolphins",0,"AFC East",0,0,755105792,"AFC East",0,0,0,0,11,0,"Phins",0,19,0,19,0,0,19,84,0,0,36503,0,14,0,19,0,0,16534530,0,1,0,759955471,"Dolphins",84,0,0,0,"",0,0,0
"PHI",0,0,0,2024,47070000,255400000,208330000,"Philadelphia",0,0,0,751960064,"NFC",0,15,0,15,13,0,15,"Eagles",0,"NFC East",0,0,755105796,"NFC East",0,0,0,0,12,0,"Eagles",0,18,0,18,10,0,18,89,0,0,18513,0,15,0,18,0,0,10660525,0,1,0,759955472,"Eagles",89,0,0,0,"",0,0,0
"ATL",0,0,0,2024,22920000,255400000,232480000,"Atlanta",0,0,0,751960064,"NFC",0,16,0,16,13,0,16,"Falcons",0,"NFC South",0,0,755105798,"NFC South",0,0,0,0,13,0,"Falcons",0,17,0,17,0,0,17,83,0,0,10685741,0,16,0,17,0,0,0,0,1,0,759955473,"Falcons",83,0,0,0,"",0,0,0
"NYG",0,0,0,2024,56470000,255400000,198930000,"New York",0,0,0,751960064,"NFC",0,17,0,17,18,0,17,"Giants",0,"NFC East",0,0,755105796,"NFC East",0,0,0,1,15,0,"G-Men",0,16,0,16,10,0,16,79,0,0,74578,0,17,0,16,0,0,10685741,0,1,0,759955475,"Giants",79,0,0,0,"",0,0,0
"JAX",0,0,0,2024,57250000,255400000,198150000,"Jacksonville",0,0,0,750518272,"AFC",0,18,0,18,17,0,18,"Jaguars",0,"AFC South",0,0,755105794,"AFC South",0,0,0,1,16,0,"Jags",0,15,0,15,10,0,15,81,0,0,25974,0,18,0,15,0,0,0,0,1,0,759955477,"Jaguars",81,0,0,0,"",0,0,0
"NYJ",0,0,0,2024,17450000,255400000,237950000,"New York",0,0,0,750518272,"AFC",0,19,0,19,19,0,19,"Jets",0,"AFC East",0,0,755105792,"AFC East",0,0,0,1,17,0,"Jets",0,14,0,14,0,0,14,83,0,0,1136448,0,19,0,14,0,0,16777215,0,1,0,759955478,"Jets",83,0,0,0,"",0,0,0
"DET",0,0,0,2024,51870000,255400000,203530000,"Detroit",0,0,0,751960064,"NFC",0,20,0,20,14,0,20,"Lions",0,"NFC North",0,0,755105797,"NFC North",0,0,0,1,18,0,"Lions",0,13,0,13,5,0,13,89,0,0,30390,0,20,0,13,0,0,11581372,0,1,0,759955479,"Lions",89,0,0,0,"",0,0,0
"GB",0,0,0,2024,37460000,255400000,217940000,"Green Bay",0,0,0,751960064,"NFC",0,21,0,21,19,0,21,"Packers",0,"NFC North",0,0,755105797,"NFC North",0,0,0,1,19,0,"Pack",0,12,0,12,0,0,12,85,0,0,1846565,0,21,0,12,0,0,15641886,0,1,0,759955481,"Packers",85,0,0,0,"",0,0,0
"CAR",0,0,0,2024,15760000,255400000,239640000,"Carolina",0,0,0,751960064,"NFC",0,22,0,22,11,0,22,"Panthers",0,"NFC South",0,0,755105798,"NFC South",0,0,0,1,20,0,"Panthers",0,11,0,11,10,0,11,80,0,0,34255,0,22,0,11,0,0,11711675,0,1,0,759955482,"Panthers",80,0,0,0,"",0,0,0
"NE",0,0,0,2024,79610000,255400000,175790000,"New England",0,0,0,750518272,"AFC",0,23,0,23,13,0,23,"Patriots",0,"AFC East",0,0,755105792,"AFC East",0,0,0,2,21,0,"Pats",0,10,0,10,0,0,10,78,0,0,795456,0,23,0,10,0,0,13111342,0,1,0,759955483,"Patriots",78,0,0,0,"",0,0,0
"LV",0,0,0,2024,62110000,255400000,193290000,"Las Vegas",0,0,0,750518272,"AFC",0,24,0,24,17,0,24,"Raiders",0,"AFC West",0,0,755105795,"AFC West",0,0,0,0,22,0,"Raiders",0,9,0,9,0,0,9,80,0,0,10923696,0,24,0,9,0,0,0,0,1,0,759955484,"Raiders",80,0,0,0,"",0,0,0
"LAR",0,0,0,2024,48490000,255400000,206910000,"Los Angeles",0,0,0,751960064,"NFC",0,25,0,25,13,0,25,"Rams",0,"NFC West",0,0,755105799,"NFC West",0,0,0,0,23,0,"Rams",0,8,0,8,0,0,8,82,0,0,13716,0,25,0,8,0,0,16765184,0,1,0,759955485,"Rams",82,0,0,0,"",0,0,0
"BAL",0,0,0,2024,19530000,255400000,235870000,"Baltimore",0,0,0,750518272,"AFC",0,26,0,26,18,0,26,"Ravens",0,"AFC North",0,0,755105793,"AFC North",0,0,0,2,24,0,"Ravens",0,7,0,7,6,0,7,89,0,0,2364255,0,26,0,7,0,0,0,0,1,0,759955486,"Ravens",89,0,0,0,"",0,0,0
"NO",0,0,0,2024,23290000,255400000,232110000,"New Orleans",0,0,0,751960064,"NFC",0,27,0,27,11,0,27,"Saints",0,"NFC South",0,0,755105798,"NFC South",0,0,0,0,26,0,"Saints",0,6,0,6,0,0,6,80,0,0,13876365,0,27,0,6,0,0,0,0,1,0,759955487,"Saints",80,0,0,0,"",0,0,0
"SEA",0,0,0,2024,28800000,255400000,226600000,"Seattle",0,0,0,751960064,"NFC",0,28,0,28,18,0,28,"Seahawks",0,"NFC West",0,0,755105799,"NFC West",0,0,0,0,27,0,"Seahawks",0,5,0,5,3,0,5,83,0,0,5426,0,28,0,5,0,0,6929960,0,1,0,759955488,"Seahawks",83,0,0,0,"",0,0,0
"PIT",0,0,0,2024,26540000,255400000,228860000,"Pittsburgh",0,0,0,750518272,"AFC",0,29,0,29,13,0,29,"Steelers",0,"AFC North",0,0,755105793,"AFC North",0,0,0,0,28,0,"Steelers",0,4,0,4,0,0,4,85,0,0,15641886,0,29,0,4,0,0,0,0,1,0,759955489,"Steelers",85,0,0,0,"",0,0,0
"HOU",0,0,0,2024,39920000,255400000,215480000,"Houston",0,0,0,750518272,"AFC",0,30,0,30,19,0,30,"Texans",0,"AFC South",0,0,755105794,"AFC South",0,0,0,1,31,0,"Texans",0,3,0,3,0,0,3,85,0,0,5183,0,30,0,3,0,0,12849712,0,1,0,759955490,"Texans",85,0,0,0,"",0,0,0
"TEN",0,0,0,2024,49350000,255400000,206050000,"Tennessee",0,0,0,750518272,"AFC",0,31,0,31,17,0,31,"Titans",0,"AFC South",0,0,755105794,"AFC South",0,0,0,0,29,0,"Titans",0,2,0,2,0,0,2,79,0,0,4494802,0,31,0,2,0,0,5426,0,1,0,759955491,"Titans",79,0,0,0,"",0,0,0
"MIN",0,0,0,2024,21750000,255400000,233650000,"Minnesota",0,0,0,751960064,"NFC",0,32,0,32,18,0,32,"Vikings",0,"NFC North",0,0,755105797,"NFC North",0,0,0,0,30,0,"Vikes",0,1,0,1,0,0,1,85,0,0,5187203,0,32,0,1,0,0,16762415,0,1,0,759955492,"Vikings",85,0,0,0,"",0,0,0
